window_start,window_end,window_size,step,avg_signed_coupling,avg_abs_coupling_ising,avg_mutual_information,largest_eigenvalue_signed,largest_eigenvalue_ising,negative_edge_share
2020-01-02,2020-05-06,90,30,0.2339712173173889,0.26691723400452033,0.11123345069736919,3.534258168078464,3.819081099840631,0.23809523809523808
2020-02-13,2020-06-17,90,30,0.23694029551811757,0.2650625432896998,0.11027991067438993,3.5849287838086603,3.8259507553206062,0.21904761904761905
2020-03-26,2020-07-29,90,30,0.20714818532534773,0.23160316962740102,0.090049215352048,3.0362227662606966,3.27678523486919,0.11428571428571428
2020-05-07,2020-09-09,90,30,0.20276291043974107,0.2128913313033425,0.08642792942285582,3.105099000190741,3.167654555349255,0.12380952380952381
2020-06-18,2020-10-21,90,30,0.16572782915111806,0.1977550018044546,0.07718829035187415,2.6049022432208577,2.800518635255642,0.18095238095238095
2020-07-30,2020-12-02,90,30,0.13926478894403724,0.1706699707726766,0.07178188241128863,2.1918356998402206,2.4355658406386858,0.2
2020-09-10,2021-01-13,90,30,0.10690441647074224,0.15170686251259247,0.06831047771220142,1.6545685480315975,2.1470712634197398,0.3619047619047619
2020-10-22,2021-02-24,90,30,0.11258612412405489,0.15627589492603172,0.07534036089909504,1.8949056449901036,2.275437247919757,0.3047619047619048
2020-12-03,2021-04-07,90,30,0.14843274316708985,0.15967257486605235,0.07551191595462589,2.146160047921342,2.2733679409222214,0.12380952380952381
2021-01-14,2021-05-19,90,30,0.18290881061665848,0.18569897061229665,0.07145898268292643,2.594591752788121,2.62849525807884,0.05714285714285714
2021-02-25,2021-06-30,90,30,0.19058268413292367,0.1918720411813349,0.07092167085837281,2.7292005452077177,2.7413412805895434,0.05714285714285714
2021-04-08,2021-08-11,90,30,0.17216735848596562,0.1788695794579993,0.07574658887077529,2.504017961774218,2.5748537782587104,0.08571428571428572
2021-05-20,2021-09-22,90,30,0.1641062331281756,0.172647842589825,0.0761833409628403,2.4800313797158084,2.564546705709675,0.13333333333333333
2021-07-01,2021-11-03,90,30,0.16652003216443617,0.17940900425054254,0.08225465302956389,2.44232889771692,2.5963244854427057,0.13333333333333333
2021-08-12,2021-12-15,90,30,0.2505970819102431,0.2505970819102431,0.0921773568724422,3.554200012922816,3.554200012922816,0.0
2021-09-23,2022-01-26,90,30,0.3043171765686061,0.30479031569622067,0.1068158113961128,4.38288469108822,4.387748154293616,0.01904761904761905
2021-11-04,2022-03-09,90,30,0.38059461369190717,0.38059461369190717,0.14406494242657295,5.360098537044452,5.360098537044452,0.0
2021-12-16,2022-04-20,90,30,0.3569381045789454,0.3569381045789454,0.1276106465263472,5.022330681606519,5.022330681606519,0.0
2022-01-27,2022-06-01,90,30,0.3403835070409206,0.3408985987291717,0.1241448021706838,4.855516842185857,4.860349732363815,0.02857142857142857
2022-03-10,2022-07-13,90,30,0.2651106295846331,0.26552198932225296,0.10189110233909153,3.7740561469715743,3.778515051134388,0.009523809523809525
2022-04-21,2022-08-24,90,30,0.21381463287021152,0.22988085926226096,0.08630326710208977,3.1619479308131146,3.296476041267108,0.12380952380952381
2022-06-02,2022-10-05,90,30,0.15644864109943107,0.1791095074253714,0.07400952568609764,2.3723111844429363,2.5824329329918676,0.17142857142857143
2022-07-14,2022-11-16,90,30,0.14630039535836964,0.17449260930196045,0.0713952009850385,2.1971020993998573,2.4882971831495446,0.20952380952380953
2022-08-25,2022-12-28,90,30,0.16171399669284103,0.18995749167063197,0.07625890261830162,2.390252760944273,2.6876486219959155,0.18095238095238095
2022-10-06,2023-02-08,90,30,0.16051254561692835,0.18605578380978596,0.07258528084097855,2.495023844100345,2.695441859587289,0.22857142857142856
2022-11-17,2023-03-22,90,30,0.1869287168244298,0.19292483820069933,0.08217296464657549,2.7094517405146568,2.774758552128355,0.12380952380952381
2022-12-29,2023-05-03,90,30,0.17757367887897732,0.18887554216856076,0.07695906666327344,2.639488798203326,2.747958964743919,0.13333333333333333
2023-02-09,2023-06-14,90,30,0.18980167695154265,0.1982634213951065,0.07735377537453218,2.7156232243777407,2.8159029080410987,0.10476190476190476
2023-03-23,2023-07-26,90,30,0.18173014881142655,0.19231315439630473,0.07362105585046459,2.6614542535690746,2.7842762848541875,0.11428571428571428
2023-05-04,2023-09-06,90,30,0.17889258770092656,0.1892643932425773,0.07332690581476992,2.618047186791682,2.7264067403333514,0.10476190476190476
2023-06-15,2023-10-18,90,30,0.15844489847470283,0.16592666781953172,0.06996652319836151,2.288411927204245,2.3791296558286836,0.14285714285714285
2023-07-27,2023-11-29,90,30,0.15033426517466797,0.16905950454885602,0.06911457362006757,2.3018739586262362,2.4299058916898253,0.1619047619047619
2023-09-07,2024-01-10,90,30,0.17022697577779206,0.18662224694604848,0.07737209788139683,2.728603802077047,2.8027068492912424,0.1619047619047619
2023-10-19,2024-02-21,90,30,0.19633186488775636,0.21826864916785602,0.09093867395253097,3.0333458594145375,3.1770071922256418,0.13333333333333333
2023-11-30,2024-04-03,90,30,0.18152656886308227,0.19221917831229382,0.07936102331831309,2.6692677980341224,2.7615703883143197,0.12380952380952381
2024-01-11,2024-05-15,90,30,0.1841669674535233,0.19436235497752663,0.08066094247829038,2.633471114731764,2.7588623828767385,0.14285714285714285
2024-02-22,2024-06-26,90,30,0.16280005572558412,0.18698378978452335,0.07560561584826737,2.3688549197266915,2.66182357827913,0.11428571428571428
2024-04-04,2024-08-07,90,30,0.1510516640866786,0.18659333666652922,0.06992662486167588,2.271147768222134,2.6644851921836965,0.14285714285714285
2024-05-16,2024-09-18,90,30,0.13508876400500267,0.17173694959835392,0.07210885241581481,2.172049541788547,2.5142353547923637,0.24761904761904763
2024-06-27,2024-10-30,90,30,0.1263467158490682,0.1482395906330341,0.07135104875838488,1.8778730755131177,2.13658281479607,0.26666666666666666
2024-08-08,2024-12-11,90,30,0.1601225737569299,0.17436928718831388,0.07368065017678145,2.3143475687717143,2.4778272337765483,0.1619047619047619
