date,gold,silver,platinum,palladium,copper,wti_crude,brent_crude,natural_gas,heating_oil,wheat,corn,soybeans,coffee,sugar,cotton
2020-01-02,0.0018601727010956583,0.0012002939818051223,-0.003225250839352719,-0.0019729536918520786,-0.0016388193050899914,0.01016872751456271,0.018291101388516553,0.008269330993144332,0.0039864206328979685,0.003804865036617247,-0.009249647616494801,-0.008427472530164482,0.006592045411799042,0.0024399965461661985,0.00798999689661668
2020-01-03,0.00015870899531052635,-0.015180907763471339,0.005752951140371977,-0.007129793054174938,0.005479519935821331,-0.011074830410778178,-0.03103113524481525,-0.007999648575133599,-0.02148366160142233,-0.006325209356677412,-0.009290863146022059,0.00031916761008940025,0.0024940151536346263,-0.004494440400886593,-0.00469839830348209
2020-01-06,-0.004271455953374235,-0.0018733438890405163,-0.007249351945313489,-0.005046249671762233,-0.014315024372115136,0.005095533445773391,-0.009567575911829869,-0.013104422056441615,0.009310265181362548,-0.003890848851339528,-0.007058078335860962,-0.0045197989847138515,-0.003791944686464791,0.011223801419611495,-0.010341982501695844
2020-01-07,0.005962003946452942,0.005262178925488632,-0.002310410112941543,-0.000485150180692425,-0.001292232600119762,0.010984276706337108,0.012097041145047798,0.009230025855562976,0.009571875208196757,-0.006810389749772421,-0.0014538917673212696,0.0012266458888996426,0.008757214405216304,0.020848752159824388,0.012855893885366579
2020-01-08,0.004644249291066451,-0.005398977332481763,-0.0006030815728527107,0.011225743377534762,0.014174983329967366,-0.025146246595214063,-0.033996146743704506,-0.04263819781465308,-0.025930060767190326,-0.0053483788883748745,0.009940113035548852,-8.375133594357587e-05,0.0074329371890699365,0.006866142966827108,0.0038896204092786924
2020-01-09,-0.009364095204288327,-0.013428393876308287,-0.009012877046166488,-0.007976549828764792,-0.0008536764768838007,-0.0036363631792831128,-0.015134513607229864,0.007136785475955363,-0.006749793736512297,0.0008278137908401349,0.003805161818398617,0.0011616248413544843,0.00510255186359239,0.010500565864685292,0.0010288753608393186
2020-01-10,-0.005917844271307136,-0.003966331634303139,-0.0015254510438818026,-0.014387392410432298,0.008230347485428797,-0.004568530543438096,-0.01888338727965391,-0.005860039187257075,-0.01053340864628815,0.004082204499013913,0.0188541781107346,-0.0008124290187689127,0.0007476256270083165,-0.0004132909763575988,-0.0034745154022219377
2020-01-13,-0.0032523032385006496,0.00276320488003807,0.011688971189559779,-0.0036147640660014156,-0.00977412503574089,0.06517854391520055,0.02698408041319043,0.04600916042676687,0.04098513757313448,0.007633478957028357,0.009736589227836432,-0.007009774312710933,-0.006568307817105847,-0.008165956565693931,0.004596694974438254
2020-01-14,-0.0017217149439051533,0.007153309630528479,0.004511148052105213,0.0012868019667266963,-0.006780363471519631,-0.0016239897759394667,-0.014697337083028459,0.006612587198864353,0.0014608590507922516,0.01029778892414544,-0.0019133570251151295,-0.002278966717256333,0.007985311651780395,-0.00022535806639174038,-0.011116368197834368
2020-01-15,0.00299739414576131,0.0058667822476260794,0.0007940465935886603,0.0016544563996528444,0.011051445293367037,-0.013367039222430524,-0.005218356881419084,-0.006911764263672326,0.0061372318323634715,0.007943990760954523,-0.0031096341946582344,0.011615148945465522,0.004460389902294642,0.011194101840647279,0.014783885698488871
