q,pq
-0.9523809523809523,0.0
-0.8571428571428572,0.0
-0.7619047619047619,0.0
-0.6666666666666667,0.0
-0.5714285714285714,0.0
-0.4761904761904762,0.0
-0.380952380952381,0.0
-0.28571428571428575,0.0
-0.19047619047619052,0.0
-0.09523809523809529,0.0
-1.1102230246251565e-16,0.0
0.09523809523809512,0.0
0.19047619047619047,0.0
0.2857142857142857,0.0
0.3809523809523808,0.0
0.47619047619047605,0.0
0.5714285714285714,0.0
0.6666666666666666,0.0
0.7619047619047618,0.0
0.857142857142857,0.0
0.9523809523809523,10.49999999999999
