avg_signed_coupling,avg_abs_coupling_ising,largest_eigenvalue_signed,largest_eigenvalue_ising,negative_edge_share,window_start,window_end,window_size,step,avg_mutual_information
0.07840401214444812,0.18438139010194632,1.6577537002930134,1.7161014532503074,0.24444444444444444,2024-01-01,2024-06-01,6,1,0.19853293495295798
0.0778248819334188,0.18775264066901276,1.696492854935378,1.7543680286178835,0.24444444444444444,2024-02-01,2024-07-01,6,1,0.18963982869551288
0.07004646206164948,0.16705060664060953,1.6443752779424106,1.662689436494532,0.24444444444444444,2024-03-01,2024-08-01,6,1,0.15307959788599929
0.059176961952099344,0.15378826240914437,1.5281596779769524,1.548595379894118,0.24444444444444444,2024-04-01,2024-09-01,6,1,0.21341614020081073
0.05959608230665347,0.15522139337998633,1.542273253820413,1.5621209059482095,0.2222222222222222,2024-05-01,2024-10-01,6,1,0.22136342973118642
0.06323363094696982,0.16195803806737402,1.5969443922900848,1.6175970609137924,0.2222222222222222,2024-06-01,2024-11-01,6,1,0.2372231969374067
0.07177760622456214,0.1758324095766752,1.7473879947622966,1.7648819229891513,0.2222222222222222,2024-07-01,2024-12-01,6,1,0.16165434503892948
0.07153066559595378,0.172608028415455,1.707557450059436,1.7258215316237642,0.2222222222222222,2024-08-01,2025-01-01,6,1,0.16181203855553772
0.08128431987892068,0.19712446608717002,1.7876131233952623,1.8407464625849146,0.2222222222222222,2024-09-01,2025-02-01,6,1,0.21035760509944482
0.08250726701794996,0.19741095676775045,1.7855062627646197,1.839182630240627,0.2222222222222222,2024-10-01,2025-03-01,6,1,0.21087779617821253
0.07563517974375332,0.18879006387464092,1.7040546847059206,1.7625163130936432,0.24444444444444444,2024-11-01,2025-04-01,6,1,0.1831385621029951
0.07108168681562346,0.17967938989054721,1.6029888965273873,1.6731569202397967,0.24444444444444444,2024-12-01,2025-05-01,6,1,0.16762697731868625
0.07161806705307136,0.17931364583796197,1.5911372757301874,1.6625082148828327,0.24444444444444444,2025-01-01,2025-06-01,6,1,0.17164497985555086
0.07107787403827381,0.17683154782182187,1.5665139629858111,1.6398917020609474,0.24444444444444444,2025-02-01,2025-07-01,6,1,0.177556096039295
0.07608236027567512,0.18014501859196802,1.600164051157265,1.6692207148280938,0.24444444444444444,2025-03-01,2025-08-01,6,1,0.186218411591892
0.06976208953801666,0.1732017199182066,1.5277143929800765,1.599898297908036,0.24444444444444444,2025-04-01,2025-09-01,6,1,0.18824296093275525
0.07313755698794605,0.17542333251152603,1.557651041336552,1.621535883258429,0.24444444444444444,2025-05-01,2025-10-01,6,1,0.20201734303506952
0.07292766406961457,0.1758872131609114,1.5681376663800752,1.6266480607972418,0.24444444444444444,2025-06-01,2025-11-01,6,1,0.20355644405412704
0.07056471725925766,0.1696022535479738,1.5126778623966366,1.5692619111898218,0.24444444444444444,2025-07-01,2025-12-01,6,1,0.20447963302889727
